date,gamma,elecro,lon,L
2023-11-0100:00:00.000,2.6756667,N/A,124.04339,7.2820802
2023-11-0100:01:00.000,1.7696667,N/A,122.20974,10.755500
2023-11-0100:02:00.000,1.6250000,N/A,120.02463,17.618959
2023-11-0100:03:00.000,1.5710000,N/A,117.33931,32.841942
2023-11-0100:04:00.000,1.6073333,N/A,113.91327,70.766388
2023-11-0100:05:00.000,1.7023333,N/A,109.33679,141.93477
2023-11-0100:06:00.000,1.6696667,N/A,102.87284,117.23609
2023-11-0100:07:00.000,1.5673333,N/A,93.145370,56.204578
2023-11-0100:08:00.000,1.6563333,N/A,77.733650,29.457161
2023-11-0100:09:00.000,1.7250000,N/A,54.203362,17.937340
2023-11-0100:10:00.000,1.7306667,N/A,26.381660,12.138710
2023-11-0100:11:00.000,10.094000,N/A,4.0925202,8.8579702
2023-11-0100:12:00.000,192.00300,N/A,349.73843,6.8129601
2023-11-0100:13:00.000,602.00033,N/A,340.63297,5.4372501
2023-11-0100:14:00.000,642.06800,0.000000e+0,334.52341,4.4675999
2023-11-0100:15:00.000,249.03667,N/A,330.15839,3.7674000
2023-11-0100:16:00.000,26.645667,N/A,326.86594,3.2491500
2023-11-0100:17:00.000,29.549333,N/A,324.26941,2.8530099
2023-11-0100:18:00.000,36.440667,N/A,322.14597,2.5409000
2023-11-0100:19:00.000,65.633000,0.000000e+0,320.35675,2.2886701
2023-11-0100:20:00.000,107.22600,N/A,318.81119,2.0807199
2023-11-0100:21:00.000,205.74267,N/A,317.44791,1.9084400
2023-11-0100:22:00.000,198.81733,N/A,316.22391,1.7632400
2023-11-0100:23:00.000,203.76933,N/A,315.10803,1.6407200
2023-11-0100:24:00.000,271.57567,N/A,314.07730,1.5370800
2023-11-0100:25:00.000,268.27100,0.000000e+0,313.11414,1.4490900
2023-11-0100:26:00.000,347.65933,0.000000e+0,312.20496,1.3748000
2023-11-0100:27:00.000,342.57467,N/A,311.33890,1.3128400
2023-11-0100:28:00.000,236.75500,0.000000e+0,310.50717,1.2612700
2023-11-0100:29:00.000,161.00500,N/A,309.70251,1.2203900
2023-11-0100:30:00.000,106.22833,0.000000e+0,308.91870,1.1885999
2023-11-0100:31:00.000,37.571667,N/A,308.15030,1.1664300
2023-11-0100:32:00.000,9.9620000,N/A,307.39243,1.1542300
2023-11-0100:33:00.000,2.9843333,N/A,306.64063,1.1516000
2023-11-0100:34:00.000,1.8496667,N/A,305.89059,1.1579601
2023-11-0100:35:00.000,1.7843333,N/A,305.13809,1.1756999
2023-11-0100:36:00.000,1.6273333,N/A,304.37881,1.2061800
2023-11-0100:37:00.000,1.6343333,N/A,303.60818,1.2516100
2023-11-0100:38:00.000,1.5243333,N/A,302.82126,1.3122100
2023-11-0100:39:00.000,1.5193333,N/A,302.01254,1.3929800
2023-11-0100:40:00.000,1.5383333,N/A,301.17557,1.4970700
2023-11-0100:41:00.000,1.5519444,N/A,300.30286,1.6290700
2023-11-0100:42:00.000,1.6453333,N/A,299.38525,1.7959300
2023-11-0100:43:00.000,1.8306667,N/A,298.41147,2.0079300
2023-11-0100:44:00.000,1.9113333,N/A,297.36728,2.2815199
2023-11-0100:45:00.000,1.9283333,N/A,296.23422,2.6412699
2023-11-0100:46:00.000,13.997667,N/A,294.98792,3.1270001
2023-11-0100:47:00.000,237.36633,N/A,293.59537,3.7940400
2023-11-0100:48:00.000,254.11467,N/A,292.01056,4.7351298
2023-11-0100:49:00.000,7.6370000,N/A,290.16739,6.1295199
2023-11-0100:50:00.000,2.1466667,N/A,287.96768,8.3397198
2023-11-0100:51:00.000,2.0103333,N/A,285.25934,12.092430
2023-11-0100:52:00.000,1.9153333,N/A,281.79556,19.011280
2023-11-0100:53:00.000,2.0070000,N/A,277.15430,33.202019
2023-11-0100:54:00.000,2.0760000,N/A,270.57263,65.315300
2023-11-0100:55:00.000,1.9846667,N/A,260.62097,122.92737
2023-11-0100:56:00.000,1.9070000,N/A,244.79597,119.35066
2023-11-0100:57:00.000,2.0083333,N/A,220.73885,63.384541
2023-11-0100:58:00.000,2.1720000,N/A,192.83836,33.301849
2023-11-0100:59:00.000,2.3983333,N/A,170.94688,19.720140
2023-11-0101:00:00.000,2.8136667,N/A,156.96065,12.856990
2023-11-0101:01:00.000,27.841333,N/A,148.08623,8.9403496
2023-11-0101:02:00.000,371.90933,0.000000e+0,142.11647,6.4982100
2023-11-0101:03:00.000,531.32867,0.000000e+0,137.83945,4.9540100
2023-11-0101:04:00.000,186.63500,N/A,134.60512,3.9338000
2023-11-0101:05:00.000,5.3650000,N/A,132.04878,3.2179401
2023-11-0101:06:00.000,3.1180000,N/A,129.95415,2.6922300
2023-11-0101:07:00.000,1.5806667,N/A,128.18614,2.2977200
2023-11-0101:08:00.000,1.5710000,N/A,126.65660,1.9962400
2023-11-0101:09:00.000,1.4386667,N/A,125.30559,1.7625500
2023-11-0101:10:00.000,1.2173333,N/A,124.09107,1.5786999
2023-11-0101:11:00.000,1.1873333,N/A,122.98259,1.4329400
2023-11-0101:12:00.000,1.0200000,N/A,121.95756,1.3164901
2023-11-0101:13:00.000,1.0550000,N/A,120.99876,1.2239300
2023-11-0101:14:00.000,1.0263333,N/A,120.09280,1.1500700
2023-11-0101:15:00.000,0.99566667,N/A,119.22902,1.0926200
2023-11-0101:16:00.000,0.96900000,N/A,118.39874,1.0488200
2023-11-0101:17:00.000,0.92900000,N/A,117.59473,1.0170799
2023-11-0101:18:00.000,0.99066667,N/A,116.81084,0.99642998
2023-11-0101:19:00.000,0.88966667,N/A,116.04166,0.98720002
2023-11-0101:20:00.000,0.89600000,N/A,115.28233,0.98843002
2023-11-0101:21:00.000,0.95266667,N/A,114.52833,1.0001800
2023-11-0101:22:00.000,0.93866667,N/A,113.77534,1.0243800
2023-11-0101:23:00.000,0.92033333,N/A,113.01906,1.0608300
2023-11-0101:24:00.000,0.92033333,N/A,112.25508,1.1131200
2023-11-0101:25:00.000,1.0456667,N/A,111.47873,1.1829900
2023-11-0101:26:00.000,1.0240000,N/A,110.68490,1.2758600
2023-11-0101:27:00.000,1.1916667,N/A,109.86783,1.3954600
2023-11-0101:28:00.000,1.2956667,N/A,109.02085,1.5509800
2023-11-0101:29:00.000,1.4330000,N/A,108.13606,1.7524101
2023-11-0101:30:00.000,1.6636667,N/A,107.20383,2.0144701
2023-11-0101:31:00.000,3.1113333,N/A,106.21224,2.3618200
2023-11-0101:32:00.000,24.536000,N/A,105.14610,2.8299899
2023-11-0101:33:00.000,410.71667,N/A,103.98573,3.4724200
2023-11-0101:34:00.000,415.40633,N/A,102.70494,4.3626599
2023-11-0101:35:00.000,73.639667,N/A,101.26804,5.6160798
2023-11-0101:36:00.000,1.8436667,N/A,99.625000,7.4684000
2023-11-0101:37:00.000,1.8056667,N/A,97.703468,10.353370
2023-11-0101:38:00.000,1.8806667,N/A,95.394974,14.753390
2023-11-0101:39:00.000,1.7783333,N/A,92.529930,20.845221
2023-11-0101:40:00.000,1.7600000,N/A,88.830276,27.214870
2023-11-0101:41:00.000,1.7516667,N/A,83.814842,30.020100
2023-11-0101:42:00.000,1.8486667,N/A,76.606010,26.982401
2023-11-0101:43:00.000,1.7076667,N/A,65.565613,21.094990
2023-11-0101:44:00.000,1.6190000,N/A,48.001770,15.782970
2023-11-0101:45:00.000,1.8470000,N/A,22.402330,11.787090
2023-11-0101:46:00.000,2.9666667,N/A,355.29184,8.9912205
2023-11-0101:47:00.000,136.50067,N/A,335.39636,7.0253401
2023-11-0101:48:00.000,610.46600,0.000000e+0,322.82196,5.6083999
2023-11-0101:49:00.000,628.70567,0.000000e+0,314.74146,4.5680199
2023-11-0101:50:00.000,279.54967,0.000000e+0,309.21985,3.7993901
2023-11-0101:51:00.000,14.644000,N/A,305.20981,3.2254601
2023-11-0101:52:00.000,25.119333,N/A,302.14389,2.7882900
2023-11-0101:53:00.000,19.301000,N/A,299.69922,2.4475200
2023-11-0101:54:00.000,50.175667,N/A,297.68182,2.1782200
